X,Y,Z,total_time(sec)
1.7213722467422485,1.6183538436889648,0.473386287689209,300.0
1.1438463926315308,3.0913171768188477,1.0595057010650635,
0.9244260191917419,4.162247657775879,1.8342711925506592,
1.361459493637085,4.665469169616699,2.1669111251831055,
2.4314966201782227,3.9933605194091797,1.8283071517944336,
3.5427768230438232,3.173834800720215,1.6915185451507568,
3.6953818798065186,3.4365196228027344,1.9834727048873901,
3.261786460876465,4.198378562927246,2.9783029556274414,
3.3358306884765625,4.221285820007324,4.72890567779541,
3.837106466293335,4.003904342651367,4.9783430099487305,
4.546478271484375,4.453045845031738,4.507025241851807,
5.800378322601318,4.529938697814941,3.7857725620269775,
5.801444053649902,4.514564514160156,3.7260661125183105,
5.865262508392334,4.793735504150391,1.4346600770950317,
5.290855884552002,4.4317121505737305,-0.34747838973999023,
5.126828670501709,3.565286636352539,-1.4870667457580566,
2.7916057109832764,2.5481700897216797,-1.7436847686767578,
-0.27731382846832275,3.125473976135254,-0.686561107635498,
-3.152925729751587,1.1652507781982422,-0.4761343002319336,
-3.598464250564575,1.60699462890625,-1.8637473583221436,
-2.8990142345428467,2.5691614151000977,-2.990678548812866,
-1.4305578470230103,4.155440330505371,-2.9213383197784424,
-1.4023706912994385,5.186717987060547,-1.1365087032318115,
-1.193920612335205,5.829023361206055,0.7452523112297058,
-1.8085330724716187,5.505698204040527,2.357762336730957,
-2.1451494693756104,4.215228080749512,2.8786327838897705,
-1.419717788696289,3.028076171875,2.740239143371582,
-0.4972741901874542,1.9172477722167969,2.5595202445983887,
-0.10696415603160858,1.1163444519042969,1.2941956520080566,
-0.7843503952026367,1.2936697006225586,-3.1229238510131836,
-1.0766849517822266,1.316807746887207,-6.410970211029053,
0.09847712516784668,0.3154277801513672,-6.413609504699707,
0.4867658019065857,-1.3340206146240234,-4.103199005126953,
0.9208792448043823,-2.600505828857422,-2.5643961429595947,
1.315610408782959,-3.735887050628662,-2.0304176807403564,
1.411537528038025,-4.694282054901123,-3.1171724796295166,
1.0622665882110596,-4.958680152893066,-3.822113037109375,
0.14454194903373718,-5.219058036804199,-4.2669267654418945,
-1.0279443264007568,-5.181236267089844,-5.224316120147705,
-0.7030657529830933,-5.671722412109375,-5.763877868652344,
-1.115445852279663,-5.478298187255859,-4.306440353393555,
-1.7169883251190186,-4.680625915527344,-3.6363768577575684,
-1.8911128044128418,-4.248245716094971,-3.147346019744873,
-2.016331195831299,-4.001827716827393,-2.7623939514160156,
-2.2099056243896484,-4.286423683166504,-2.2017934322357178,
-2.553697109222412,-4.788580894470215,-1.86147141456604,
-2.236280679702759,-5.918970108032227,-1.405754804611206,
-1.983321189880371,-6.684086799621582,-1.3395214080810547,
-2.1290669441223145,-7.165421485900879,-1.2049555778503418,
-2.2751941680908203,-7.425940990447998,-1.073610544204712,
-2.3679556846618652,-7.564309597015381,-0.6745176315307617,
-2.0578339099884033,-7.383693695068359,0.0875101089477539,
-1.6365536451339722,-6.602184295654297,0.8797364234924316,
-1.4563449621200562,-4.818108558654785,1.8606112003326416,
-1.1584497690200806,-2.874220848083496,3.4335248470306396,
0.2762836515903473,0.0739603042602539,6.614785194396973,
3.3736836910247803,7.414690017700195,7.082376003265381,
3.9541239738464355,18.218048095703125,9.691855430603027,
0.8034664392471313,22.77214813232422,11.932600021362305,
-1.1070218086242676,18.548734664916992,12.452637672424316,
0.3361678421497345,7.979206085205078,6.633933067321777,
0.5937334299087524,-1.7233014106750488,4.248456001281738,
-0.007464110851287842,-9.103296279907227,2.833958625793457,
0.21913230419158936,-13.028552055358887,1.2999582290649414,
-0.28590530157089233,-13.244223594665527,0.6617782115936279,
-1.8835837841033936,-8.294240951538086,0.46364927291870117,
-2.8419039249420166,-2.721355438232422,-0.3767111301422119,
-4.40444278717041,3.9537353515625,-3.6262078285217285,
-8.419929504394531,10.469286918640137,-6.85108757019043,
-11.78921890258789,15.64513874053955,-8.500919342041016,
-9.929276466369629,19.4951171875,-6.04287576675415,
-2.441800117492676,12.191999435424805,1.7780139446258545,
0.9169113636016846,2.7620973587036133,-1.2769078016281128,
0.17323410511016846,-3.311345100402832,-4.588498115539551,
-0.8381020426750183,-5.776227951049805,-3.3147449493408203,
-0.5988328456878662,-6.247106552124023,-1.8423545360565186,
2.615821123123169,-5.923835277557373,-3.070712089538574,
